"MCQ","If sari is for West Bengal, Salwar suit is for","Tamil Nadu","Kerala","Tripura","Punjab",,"Punjab",
"MCQ","Which is called the pink city of India","Udaipur","Murshidabad","Jaipur","Jaisalmer",,"Jaisalmer",
"MCQ","Dal lake is situated  in ","Udaipore","Srinagar","Jammu","Pathankot",,"Srinagar",
"MCQ","It Durga pooja is for Kolkata then Ganesh Utsav is for","Mumbai","Arunachal Pradesh","Gwalior","Delhi.",,"Mumbai",
"MCQ","Which city is called the city of lakes","Indore","Udaipore","Siliguri","Puri",,"Udaipore",
"MCQ","Ahilya Bai was from the family of","Scindias","Paramars","Holkars","Chalukya",,"Holkars",
"MCQ","Mother Teresa Received.................peace prize","Segal","Nobel","Magsaysay","Pulitzer",,"Nobel",
"MCQ","Kohinoor is a rare quality of ","Ruby","Diamond","Pearl","Emerald",,"Diamond",
"MCQ","Razia Sultan who once ruled Delhi belonged to the ","Mughal Dynasty","Slave Dynasty","Tughlak Dynasty","Ganga Dynasty",,"Slave Dynasty",
"MCQ","Lavni is the dance of which state","Maharashtra","Gujrat","Karnataka","Goa",,"Maharashtra",
"MCQ","Dal lake is situated  in ","Udaipore","Srinagar","Jammu","Pathankot",,"Srinagar",
"MCQ","Who is the scientist who became the president of India","Dr. Abdul Kalam","Sarvapalli Radhakrishnan","R.K Majumdar","Probhatanshu Maity",,"Dr. Abdul Kalam",
"MCQ","Bramhaputra is also known as ................in Assam","rohil","Lohit","Ruhi","tuli ",,"Lohit",
"MCQ","Hydrabad was ruled by the ","Nawab","Raja","Nizam","Sultan",,"Nizam",
"MCQ","What is the gap between the Kumbh Mela","13 yrs","12 yrs","14 yrs","15 yrs",,"12 yrs",
"MCQ","Who is the Nightingale of India","Lata Mangeshkar","Asha Bhonsle","Sarojini Naidu","Alka Yagnik",,"Sarojini Naidu",
"MCQ","Golden Temple is situated in ","Ludhiana","Phagwara","Amritsar","Jullundur",,"Amritsar",
